model,precision,format_name,native_resolution,native_imgsz,params,map_0.6x,map_0.8x,map_1x,map_1.2x,inf_0.6x,inf_0.8x,inf_1x,inf_1.2x,flops_0.6x,flops_0.8x,flops_1x,flops_1.2x
yolo11l,fp32,PyTorch,1x,640,25340992,0.4855355748925681,0.5207128237881458,0.5357219816391441,0.5386141594752873,46.31339360808068,46.29020600348953,49.88119556126331,66.65660423152478,31.290624,55.627776,86.9184,125.162496
yolo11m,fp32,PyTorch,1x,640,20091712,0.46551191810616716,0.5009918984372833,0.5171511393987757,0.5200921844758346,30.884304859958064,30.98580783365484,37.832921447870326,51.24738640960364,24.476314,43.513446,67.98976,97.905254
yolo11n,fp32,PyTorch,1x,640,2616248,0.3263577719642039,0.3705211421992886,0.3941654981907418,0.3988346867853516,24.303840683172748,24.507220134851813,24.737170745094186,25.19638954056456,2.334067,4.149453,6.48352,9.336269
yolo11s,fp32,PyTorch,1x,640,9443760,0.4102494769374404,0.4492285011366752,0.47040397126014516,0.4758609324350397,24.787114585132805,24.97599853723863,25.214840964760224,26.13346351217071,7.729846,13.741949,21.471795,30.919385
yolo11x,fp32,PyTorch,1x,640,56919424,0.5065442667425301,0.536865310823979,0.5504278897632191,0.5531646711648949,47.421591403298365,62.45525309846183,88.19658340520516,122.69047699151561,70.169795,124.74630099999999,194.916096,280.679178
yolo26l,fp32,PyTorch,1x,640,24807420,0.4948579185023192,0.5270910834853494,0.5443832649539071,0.5403822484980334,45.68682204458804,45.758390285709176,49.83531436408113,66.92946048057114,31.116681,55.318543999999996,86.435226,124.466725
yolo26m,fp32,PyTorch,1x,640,20411132,0.4736374044867918,0.5084349612579904,0.5247750850602756,0.5191861435486286,31.980909232133417,32.15201414255833,38.564998394502325,52.176609489471296,24.547738,43.640422,68.18816,98.19095
yolo26n,fp32,PyTorch,1x,640,2408932,0.3341332402594103,0.3751662705135651,0.4017119618598698,0.40866482654224595,28.906764989474322,29.22676194283296,29.43505821183266,29.964754609375962,1.929559,3.430326,5.359885,7.718234
yolo26s,fp32,PyTorch,1x,640,9496140,0.4186605345407221,0.45683256082918555,0.478155878758405,0.47955320320975636,29.518556671136174,29.874809231742397,30.127481305039254,30.95271414634422,7.449256,13.243122,20.692378,29.797024
yolo26x,fp32,PyTorch,1x,640,55725948,0.5230361293871816,0.556439841252519,0.5696298162965516,0.5608680374398758,46.83548038306879,62.353110251473844,88.03471863375046,122.74739896607585,69.795828,124.081471,193.877299,279.183311
yolov5mu,fp32,PyTorch,1x,640,25091536,0.4424090913356671,0.4752534375642993,0.4910352146021868,0.4913419638897447,26.13499519753852,26.71368889009929,33.369967916766186,45.87366154563962,23.115442,41.094119,64.209562,92.461769
yolov5nu,fp32,PyTorch,1x,640,2649200,0.2945314055866757,0.3308110904038799,0.3429585062290201,0.3418700567206102,20.56912179817795,20.770590583636658,20.977843545868527,21.35209971164004,2.781407,4.944724,7.726131,11.125629
yolov5xu,fp32,PyTorch,1x,640,97229648,0.4906094795895736,0.5221023755731707,0.5357711555326529,0.5384127886450009,51.88031179659534,71.69415247246273,96.78867949936422,131.40887147896922,88.70365,157.695377,246.399027,354.814599
